Religious_Place,Country,Date,visitor_count,crowd_level,Public_Holiday,Past Crowd Levels
Hurva Synagogue,Israel,2025-07-23,4603,Low,No,3758
Great Synagogue of Budapest,Hungary,2032-07-18,3374,Medium,No,3960
Belz Great Synagogue,Israel,2034-01-26,660,Medium,No,3286
Gurudwara Bangla Sahib,India,2024-04-10,2242,Low,No,778
Hemkund Sahib Gurudwara,India,2040-11-20,3666,Low,No,474
Gurudwara Kartarpur Sahib,Pakistan,2025-04-02,1551,High,No,688
Shatrunjaya Hill (Palitana),India,2030-12-04,2702,High,Yes,1681
Dilwara Temples,India,2022-11-29,2150,High,Yes,1213
Ise Grand Shrine,Japan,2033-06-10,2851,Low,Yes,314
Itsukushima Shrine,Japan,2031-06-21,3805,Low,Yes,1957
Fire Temple of Yazd,Iran,2041-12-17,2378,Low,No,3781
Atash Behram,India,2043-11-03,2309,Medium,No,2491
Lotus Temple,India,2040-03-23,4653,High,No,3698
Baháʼí World Centre,Israel,2021-03-29,2819,Low,No,3444
Canterbury Cathedral,UK,2038-01-02,4803,High,No,3956
Cologne Cathedral,Germany,2032-11-29,2029,High,No,1769
Westminster Abbey,UK,2031-08-02,2554,Medium,No,1007
Chartres Cathedral,France,2040-04-28,2241,High,No,3
Mont Saint-Michel Abbey,France,2045-04-06,3663,High,No,3569
Basilica of Saint Mark,Italy,2037-04-08,706,Low,No,3958
Florence Cathedral (Duomo),Italy,2043-01-04,1533,High,No,1021
Milan Cathedral (Duomo),Italy,2043-11-05,2382,Medium,No,892
Saint Basil’s Cathedral,Russia,2040-08-19,763,High,No,1998
Christ the Redeemer,Brazil,2044-09-19,1442,Low,No,3526
La Sagrada Família,Spain,2021-08-03,4441,Medium,Yes,3605
Salt Cathedral of Zipaquirá,Colombia,2042-01-28,4546,High,Yes,1584
Tsurugaoka Hachimangu Shrine,Japan,2027-06-27,4138,High,Yes,456
Fushimi Inari Shrine,Japan,2041-05-22,3826,Low,Yes,1213
Kiyomizu-dera Temple,Japan,2018-04-07,1431,High,Yes,1787
Todaiji Temple,Japan,2030-02-01,2924,Low,Yes,1664
Angkor Wat,Cambodia,2026-08-15,1686,Medium,Yes,2599
Bayon Temple,Cambodia,2026-07-30,1562,Low,No,571
Ta Prohm,Cambodia,2030-01-30,3675,Low,No,1603
Haeinsa Temple,South Korea,2025-08-02,2625,High,No,2475
Bulguksa Temple,South Korea,2037-03-20,3640,High,No,3649
Jokhang Monastery,Tibet (China),2037-08-18,3231,Medium,No,1613
Tawang Monastery,India,2039-01-29,3035,High,No,3675
Rumtek Monastery,India,2041-10-04,503,High,No,3839
Paro Taktsang (Tiger’s Nest),Bhutan,2025-07-05,2512,Medium,No,521
Punakha Dzong,Bhutan,2043-01-08,1709,Low,No,985
Shikharji Temple,India,2025-02-28,1185,Low,No,417
Ranakpur Jain Temple,India,2028-12-09,3600,High,No,292
Shravanabelagola,India,2036-10-30,2002,Medium,No,815
Saint Catherine’s Monastery,Egypt,2032-08-19,3352,Medium,No,2400
Hagia Sophia,Turkey,2018-04-18,588,Medium,No,2220
Suleymaniye Mosque,Turkey,2034-07-01,3533,Low,No,2095
Blue Mosque (Sultan Ahmed),Turkey,2024-04-07,1917,Medium,Yes,2821
Eyüp Sultan Mosque,Turkey,2019-01-09,2765,Low,Yes,587
Al-Hussein Mosque,Egypt,2027-06-28,863,High,Yes,1376
Great Mosque of Djenné,Mali,2018-02-01,2276,Medium,Yes,2639
Umayyad Mosque (Damascus),Syria,2028-02-02,873,Low,Yes,2222
Quba Mosque,Saudi Arabia,2039-11-02,4319,High,Yes,362
Imam Reza Shrine,Iran,2035-08-01,4064,Low,Yes,1366
Fatima Masumeh Shrine,Iran,2041-07-17,4447,Low,Yes,3209
Shah Cheragh,Iran,2034-05-09,1892,High,No,3573
Kashi Vishalakshi Temple,India,2038-06-12,1395,Medium,No,1120
Kamakhya Temple,India,2037-06-03,2219,Medium,No,2838
Vaishno Devi Temple,India,2041-07-31,3601,Medium,No,1357
Amarnath Cave Temple,India,2028-07-13,1247,Low,No,2204
Padmanabhaswamy Temple,India,2028-04-07,1885,Medium,No,1411
Ranganathaswamy Temple,India,2038-06-30,3759,High,No,3119
Jagatpita Brahma Temple,India,2044-06-05,3519,Medium,No,3915
Lingaraja Temple,India,2044-10-11,1363,Low,No,1987
Chhatarpur Temple,India,2033-02-07,1369,High,No,2392
ISKCON Temple (Vrindavan),India,2022-08-20,716,High,No,3964
Dakshineswar Kali Temple,India,2019-10-10,4613,Low,No,2786
Kalighat Kali Temple,India,2037-10-23,1940,Medium,No,407
Pashupatinath Temple,Nepal,2028-07-19,2848,High,No,480
Ramanathaswamy Temple,India,2025-03-23,4330,Medium,No,1154
Dwarkadhish Temple,India,2038-03-19,3288,Low,No,1187
Banke Bihari Temple,India,2038-09-11,2346,Medium,No,543
ISKCON Temple (Delhi),India,2026-04-04,2080,Low,No,2279
Jagannath Puri Gundicha Temple,India,2018-02-05,4260,Medium,Yes,3231
Sabarimala Temple,India,2018-03-22,2427,Medium,Yes,3255
Konark Sun Temple,India,2033-08-29,2943,Low,Yes,3615
Mahakaleshwar Jyotirlinga,India,2034-12-27,842,High,Yes,2990
Omkareshwar Temple,India,2045-08-02,4538,High,Yes,1330
Trimbakeshwar Temple,India,2019-04-29,2975,Low,Yes,747
Bhimashankar Temple,India,2036-02-17,567,High,Yes,647
Grishneshwar Temple,India,2032-12-27,804,Low,No,3213
Nageshwar Jyotirlinga,India,2035-09-29,1515,Medium,No,1578
Baidyanath Temple,India,2043-07-09,2138,High,No,3685
Mallikarjuna Temple,India,2026-07-31,1646,High,No,2229
Vishnupad Temple,India,2024-12-29,1630,Medium,No,1255
Kalighat Shakti Peetha,India,2018-09-17,3844,High,No,3849
Kanyakumari Amman Temple,India,2044-06-09,3535,High,No,236
Mookambika Temple,India,2039-04-12,951,High,No,1073
Udupi Sri Krishna Temple,India,2036-01-30,1255,High,No,773
Chidambaram Nataraja Temple,India,2020-12-04,3579,High,No,1839
Rameswaram Agnitheertham,India,2026-03-26,3016,High,No,707
Badrinath Mana Village Temple,India,2024-03-20,2206,Medium,No,57
Vaikom Mahadeva Temple,India,2032-07-23,4266,High,No,665
Guruvayur Temple,India,2033-12-12,2687,Medium,No,894
Thrissur Vadakkumnathan Temple,India,2035-07-04,2895,High,No,353
Sri Ranganatha Swamy Temple,India,2032-06-17,1603,Medium,No,3106
Sripuram Golden Temple,India,2024-02-11,4460,High,No,1579
Kanchipuram Ekambareswarar Temple,India,2027-01-02,3334,Medium,Yes,3210
Kamnath Mahadev Temple,India,2030-09-09,1252,Medium,Yes,3818
ISKCON Mayapur Temple,India,2041-09-18,3688,High,Yes,2258
Hemis Monastery,India,2044-07-22,4246,Low,Yes,1867
Key Monastery,India,2034-10-19,2708,High,Yes,588
Thiksey Monastery,India,2019-09-17,1583,Low,Yes,3897
Spituk Monastery,India,2045-03-25,934,Medium,Yes,3274
Namdroling Monastery,India,2037-04-10,2482,Low,No,2190
Tabo Monastery,India,2040-08-31,1097,Low,No,1689
Ghoom Monastery,India,2027-11-25,3890,High,No,3268
Rumtek Dharma Chakra Centre,India,2034-09-18,4708,Medium,No,1790
Ralang Monastery,India,2041-08-03,924,Low,No,106
Enchey Monastery,India,2027-01-30,3053,High,No,1697
Pemayangtse Monastery,India,2030-11-14,1210,Low,No,1639
Mindrolling Monastery,India,2034-03-29,3027,Medium,No,2639
Ganden Monastery,Tibet (China),2033-08-16,2227,Low,No,644
Tashilhunpo Monastery,Tibet (China),2033-01-22,504,Low,No,1520
Drepung Monastery,Tibet (China),2041-05-02,3137,Low,No,1778
Sera Monastery,Tibet (China),2040-03-30,2464,High,No,2110
Labrang Monastery,China,2024-11-03,3310,Medium,No,3025
Wudang Mountains Temples,China,2032-11-17,2082,High,No,2232
Shaolin Temple,China,2045-04-15,3127,High,No,3295
Mount Emei Monastery,China,2038-01-04,1900,Low,No,1545
Mount Wutai Temples,China,2029-05-03,1615,High,Yes,3025
Mount Putuo Temples,China,2019-01-24,2754,Low,Yes,2000
White Dagoba Temple,China,2019-10-31,994,High,Yes,1622
Horyu-ji Temple,Japan,2036-10-17,3751,High,Yes,3426
Todai-ji Daibutsuden,Japan,2038-12-04,4326,High,Yes,47
Sanjusangen-do Temple,Japan,2045-06-21,4020,High,Yes,2124
Ryoan-ji Temple,Japan,2045-04-07,944,Low,Yes,3407
Byodo-in Temple,Japan,2031-05-04,555,Medium,Yes,1894
Tofuku-ji Temple,Japan,2024-05-26,3693,High,No,2644
Kofuku-ji Temple,Japan,2026-05-06,2084,High,No,2457
Yakushi-ji Temple,Japan,2019-11-05,1590,Medium,No,1722
Nikkō Tōshō-gū Shrine,Japan,2039-03-05,3849,High,No,1605
Kasuga Taisha Shrine,Japan,2027-12-26,3746,Medium,No,469
Meiji Shrine,Japan,2040-02-14,3402,Medium,No,1731
Nezu Shrine,Japan,2033-12-14,4951,Low,No,270
Sensō-ji Temple,Japan,2029-06-01,2715,Low,No,3313
Zojo-ji Temple,Japan,2043-05-02,629,Low,No,2473
Sensoji Asakusa Shrine,Japan,2018-02-09,4150,Medium,No,1435
Shitenno-ji Temple,Japan,2036-07-10,4172,High,No,616
Manila Cathedral,Philippines,2043-04-22,2185,High,No,2808
San Agustin Church,Philippines,2031-07-24,3201,Low,No,3752
Quiapo Church,Philippines,2018-11-08,3191,Medium,No,3087
Basilica del Santo Niño,Philippines,2027-01-12,3409,Low,No,2079
Mount Mary Basilica,India,2026-04-26,4740,Low,No,1338
Velankanni Church,India,2028-12-17,1952,High,Yes,1745
San Thome Basilica,India,2027-07-28,1251,High,Yes,2495
Se Cathedral Goa,India,2023-09-04,4473,Medium,Yes,1800
St. Francis of Assisi Church Goa,India,2030-02-23,3124,Medium,Yes,2557
Sacred Heart Cathedral Delhi,India,2018-11-01,4877,Low,Yes,206
Holy Rosary Church,India,2030-08-16,3880,Low,No,3660
Armenian Church Chennai,India,2031-03-18,531,High,No,3062
Church of Our Lady of Lourdes,France,2034-09-10,904,High,No,2961
Basilica of the Sacred Heart Paris,France,2044-08-22,2397,High,No,1720
Reims Cathedral,France,2018-10-23,4680,Medium,No,2576
Amiens Cathedral,France,2029-06-19,3846,Low,No,2986
Pisa Cathedral,Italy,2022-07-21,1090,Low,No,1095
Siena Cathedral,Italy,2019-03-16,3512,Medium,No,3653
St. Mark’s Basilica,Italy,2019-05-16,4122,High,No,2609
St. Peter’s Church Munich,Germany,2022-01-12,4063,Medium,No,2183
Ulm Minster,Germany,2025-11-07,4405,High,Yes,1563
Frauenkirche Dresden,Germany,2025-11-24,1250,High,Yes,674
Speyer Cathedral,Germany,2033-07-21,3975,Low,Yes,2198
Chartres Abbey,France,2020-12-20,1664,High,Yes,1929
Rosslyn Chapel,Scotland,2031-08-13,3638,High,Yes,3280
St. Patrick’s Cathedral,USA,2045-02-09,3180,Low,Yes,3333
Washington National Cathedral,USA,2025-07-16,3953,Medium,Yes,1555
Salt Lake Temple,USA,2030-02-06,3110,Low,Yes,1511
Temple Square,USA,2045-06-23,4916,High,Yes,1362
Bahai Lotus of the Andes Temple,Chile,2038-10-17,4443,Medium,No,3213
Bibi Ka Maqbara,India,2032-09-03,4164,Low,No,2141
Kailasa Temple Ellora,India,2022-01-10,2899,Medium,No,1815
Elephanta Caves Temple,India,2028-06-10,3065,Medium,No,1234
Kaaba (Masjid al-Haram),Saudi Arabia,2025-05-04,4285,High,No,228
Masjid an-Nabawi,Saudi Arabia,2024-03-04,1833,Low,No,255
Al-Aqsa Mosque,Palestine,2041-07-29,4272,Medium,No,1109
Dome of the Rock,Palestine,2024-09-19,2588,High,No,3743
Sheikh Zayed Grand Mosque,UAE,2027-09-03,4416,High,No,1612
Jama Masjid,India,2030-03-07,903,Low,No,3560
Golden Temple,India,2027-04-06,3030,Medium,No,2957
Kashi Vishwanath Temple,India,2032-04-13,2678,High,No,2427
St. Peter’s Basilica,Vatican City,2027-09-21,1288,High,No,741
Church of the Holy Sepulchre,Israel,2043-10-16,2169,High,No,1528
Western Wall,Israel,2031-10-10,3421,Medium,No,2527
Basilica of the Annunciation,Israel,2025-06-30,2949,Low,No,3461
Notre Dame Cathedral,France,2042-05-05,713,High,No,3102
Chartres Cathedral,France,2033-10-30,2723,Low,Yes,3937
Basilica of Sacré-Cœur,France,2025-10-30,3705,Low,Yes,1749
Cologne Cathedral,Germany,2021-02-23,3580,Low,Yes,1653
Ulm Minster,Germany,2040-09-12,2365,Low,Yes,804
St. Paul’s Cathedral,UK,2042-11-04,4514,Low,Yes,3254
Canterbury Cathedral,UK,2022-10-27,2011,Medium,Yes,3413
Westminster Abbey,UK,2018-04-30,1181,Medium,No,1892
Sagrada Familia,Spain,2018-10-31,3616,Low,No,3919
Basilica of Our Lady of the Pillar,Spain,2038-01-27,3170,Low,No,3120
Montserrat Monastery,Spain,2018-09-09,2249,Low,No,135
Basilica of Our Lady of Guadalupe,Mexico,2021-10-01,2612,Low,No,3555
Metropolitan Cathedral (Mexico City),Mexico,2039-01-20,4030,Medium,No,87
Salt Cathedral of Zipaquirá,Colombia,2044-11-10,2472,Low,No,1959
Christ the Redeemer (Corcovado),Brazil,2027-04-20,2487,Medium,No,1502
Basilica of the National Shrine Aparecida,Brazil,2029-01-07,935,High,No,3483
Recoleta Convent,Argentina,2019-12-15,2481,Medium,No,2146
Basilica del Voto Nacional,Ecuador,2031-01-19,4421,Low,No,618
Temple of the Sun (Qorikancha),Peru,2022-05-28,3921,High,No,3677
St. Patrick’s Cathedral,USA,2026-03-17,3993,Low,No,3218
Washington National Cathedral,USA,2027-05-16,2834,High,Yes,2573
Salt Lake Temple (Mormon),USA,2038-02-14,1593,Low,Yes,2199
Temple Square,USA,2042-05-15,4879,High,Yes,2095
Montserrat Basilica,Dominican Republic,2034-12-11,1721,Low,Yes,2844
La Merced Church,Guatemala,2022-03-11,4998,Medium,Yes,1401
San Agustin Church,Philippines,2035-01-01,770,High,Yes,3808
Basilica del Santo Niño,Philippines,2031-12-14,4728,High,No,1374
Shwedagon Pagoda,Myanmar,2038-03-01,519,High,No,2313
Mahabodhi Temple,India,2041-03-21,1690,Medium,No,80
Boudhanath Stupa,Nepal,2027-04-07,601,Medium,No,1995
Pashupatinath Temple,Nepal,2023-11-16,1813,Medium,No,2396
Paro Taktsang (Tiger’s Nest),Bhutan,2022-09-29,2193,Low,No,55
Punakha Dzong,Bhutan,2025-10-06,1340,Medium,No,1179
Borobudur Temple,Indonesia,2028-02-25,3612,Low,No,1306
Prambanan Temple,Indonesia,2042-05-18,1262,Low,No,2637
Angkor Wat,Cambodia,2020-11-22,3233,Medium,No,2312
Bayon Temple,Cambodia,2018-11-18,1113,High,No,2569
Wat Pho,Thailand,2041-04-25,1031,High,No,1892
Wat Arun,Thailand,2037-11-13,2835,Medium,No,3331
Haeinsa Temple,South Korea,2045-03-07,2711,Low,No,3882
Bulguksa Temple,South Korea,2023-01-26,3851,Medium,No,2444
Todai-ji Temple,Japan,2024-10-28,4637,Low,No,2665
Kiyomizu-dera Temple,Japan,2038-12-01,686,Medium,Yes,3099
Meiji Shrine,Japan,2039-07-02,2838,Medium,Yes,1439
Ise Grand Shrine,Japan,2018-04-17,3906,High,Yes,3371
Jokhang Temple,Tibet (China),2045-06-26,3658,High,Yes,468
Potala Palace,Tibet (China),2026-12-02,2018,High,Yes,601
Shaolin Temple,China,2021-09-09,4672,Medium,Yes,1260
Temple of Heaven,China,2031-05-14,2985,Low,Yes,1636
Lama Temple (Yonghe),China,2026-10-10,1351,Low,No,2463
Mount Emei Monastery,China,2019-08-14,4647,Low,No,164
St. Mark’s Basilica,Italy,2035-05-19,1865,High,No,3536
Florence Duomo,Italy,2026-12-10,1617,Low,No,1352
Milan Cathedral,Italy,2022-06-05,3513,Medium,No,661
Basilica of Saint Francis of Assisi,Italy,2022-01-28,3958,High,No,2108
Hagia Sophia,Turkey,2037-04-09,1903,High,No,299
Blue Mosque (Sultan Ahmed),Turkey,2037-03-27,4629,High,No,269
Suleymaniye Mosque,Turkey,2039-12-02,4749,Low,No,765
Eyüp Sultan Mosque,Turkey,2021-03-02,4977,High,No,3123
Saint Catherine’s Monastery,Egypt,2042-03-19,3647,High,No,321
Al-Hussein Mosque,Egypt,2031-03-12,542,High,Yes,3890
Great Mosque of Djenné,Mali,2032-02-13,4662,High,Yes,359
Grand Mosque of Dakar,Senegal,2042-02-28,1622,Medium,Yes,1222
Hassan II Mosque,Morocco,2035-01-05,1414,Low,Yes,1928
Koutoubia Mosque,Morocco,2018-01-30,4481,High,Yes,920
Great Mosque of Algiers,Algeria,2045-04-30,4747,Medium,Yes,2672
Basilica of Our Lady of Africa,Algeria,2045-07-07,2412,High,Yes,3788
Basilica of St. Mary Major,Vatican City,2024-02-24,3568,Medium,Yes,1613
Monastery of Rila,Bulgaria,2035-05-20,3703,Low,Yes,499
Alexander Nevsky Cathedral,Bulgaria,2035-12-18,2476,High,No,426
St. Sava Temple,Serbia,2028-03-28,804,High,No,3404
Meteora Monasteries,Greece,2040-10-10,594,High,No,1065
Mount Athos Monasteries,Greece,2039-05-07,2273,Medium,No,2589
Church of St. George,Ethiopia,2035-01-18,3728,Medium,No,2367
Lalibela Rock-Hewn Churches,Ethiopia,2033-10-11,1568,Low,No,3865
Jvari Monastery,Georgia,2029-05-19,1691,High,No,1063
Svetitskhoveli Cathedral,Georgia,2040-01-27,3094,High,No,1875
Belz Great Synagogue,Israel,2028-10-17,519,Medium,No,2350
Dohány Street Synagogue,Hungary,2045-02-18,780,High,No,1180
Great Synagogue of Rome,Italy,2024-04-23,2733,Low,No,2570
Choral Synagogue,Russia,2032-09-06,4908,High,No,2146
Baha’i Lotus Temple,India,2032-10-16,1613,Medium,No,3455
Baháʼí World Centre,Israel,2041-10-28,3489,Low,No,669
Fire Temple of Yazd,Iran,2042-01-10,4265,Low,Yes,1454
Imam Reza Shrine,Iran,2022-10-25,3933,High,Yes,1026
Fatima Masumeh Shrine,Iran,2044-09-29,2406,Medium,Yes,2198
St. Nicholas Church,Czech Republic,2029-10-02,2851,Low,Yes,2046
Sedlec Ossuary,Czech Republic,2027-04-28,646,Low,Yes,1414
St. Vitus Cathedral,Czech Republic,2031-07-27,1275,Medium,Yes,3038
Basilica of St. Denis,France,2019-09-16,1115,Low,Yes,387
Sainte-Chapelle,France,2026-12-24,885,Medium,No,3764
Mont Saint-Michel Abbey,France,2026-09-30,3105,Low,No,197
Westminster Cathedral,UK,2031-11-07,4629,Medium,No,3364
Durham Cathedral,UK,2038-02-26,1703,Medium,No,1728
York Minster,UK,2035-03-06,774,High,No,2724
St. Giles Cathedral,Scotland,2039-07-16,1846,Low,No,748
Rosslyn Chapel,Scotland,2026-08-06,3121,Low,No,3695
Nidaros Cathedral,Norway,2043-02-04,1599,High,No,1077
Uspenski Cathedral,Finland,2019-08-06,4076,Low,No,2899
Helsinki Cathedral,Finland,2032-03-08,4836,Low,No,877
St. Olaf’s Church,Estonia,2028-04-13,1035,Medium,No,3774
Alexander Nevsky Cathedral,Estonia,2021-03-26,4319,Low,No,2668
Riga Cathedral,Latvia,2024-05-08,526,High,No,3058
St. Peter’s Church,Latvia,2026-07-16,2490,High,No,311
Vilnius Cathedral,Lithuania,2039-12-27,773,Medium,No,2964
Kaunas Cathedral,Lithuania,2045-01-08,1404,Medium,No,3916
Hallgrímskirkja,Iceland,2018-10-21,1693,Low,Yes,1480
Akureyri Church,Iceland,2040-04-11,2056,High,Yes,2396
St. Stephen’s Cathedral,Austria,2041-02-27,819,Low,Yes,20
Melk Abbey,Austria,2025-05-25,609,Low,Yes,3092
St. Michael’s Church,Austria,2018-11-15,1852,High,Yes,2269
Frauenkirche,Germany,2043-01-05,894,Low,Yes,3028
Bamberg Cathedral,Germany,2036-01-16,882,Medium,No,1323
Regensburg Cathedral,Germany,2022-11-04,2226,Medium,No,1261
Basilica of St. Martin,France,2028-03-17,2366,Low,No,136
Santorini Orthodox Cathedral,Greece,2026-01-06,1291,Medium,No,405
Monastery of Saint John the Theologian,Greece,2034-09-14,3497,Low,No,782
Meteora Monastery,Greece,2022-04-28,4976,High,No,3772
Monastery of Saint Catherine,Egypt,2041-02-19,3293,Medium,No,2041
Church of St. Sergius,Russia,2037-12-29,3856,High,No,1170
Church of the Savior on Spilled Blood,Russia,2018-01-15,2347,Low,No,847
Kazan Cathedral,Russia,2032-02-25,4039,Medium,No,763
Trinity Lavra of St. Sergius,Russia,2043-02-05,4479,High,No,2549
St. Basil’s Cathedral,Russia,2024-03-10,569,Low,No,2816
Uspenski Cathedral,Finland,2026-04-10,2898,High,No,948
Temppeliaukio Church,Finland,2028-09-24,1870,Medium,No,1974
Turku Cathedral,Finland,2029-05-24,4626,Medium,No,1314
St. Alexander Nevsky Cathedral,Bulgaria,2026-05-19,4910,Medium,Yes,2798
Rila Monastery,Bulgaria,2031-04-08,2211,High,Yes,3792
Banya Bashi Mosque,Bulgaria,2030-04-30,1986,High,Yes,3445
Hagia Sophia,Turkey,2039-10-26,3680,High,Yes,3358
Church of St. George,Turkey,2023-05-12,2403,High,Yes,2078
Blue Mosque,Turkey,2031-05-27,3197,Medium,Yes,3590
Suleymaniye Mosque,Turkey,2045-06-08,4764,Medium,Yes,2333
Sultan Ahmed Mosque,Turkey,2023-06-05,799,Medium,No,1008
Al-Azhar Mosque,Egypt,2021-01-26,3000,Low,No,3877
Mosque of Muhammad Ali,Egypt,2041-05-28,2519,Low,No,332
Abu Simbel Temple,Egypt,2019-06-27,3864,High,No,2664
Basilica of Our Lady of Peace,Ivory Coast,2033-08-28,927,High,No,912
Mosque of Touba,Senegal,2033-06-20,2741,High,No,994
Great Mosque of Kairouan,Tunisia,2025-11-04,2430,High,No,2170
Great Mosque of Djenné,Mali,2018-04-03,1444,Medium,No,2469
Basilica of Our Lady of Peace (Yamoussoukro),Ivory Coast,2043-10-31,1114,Low,No,1564
Lalibela Rock-Hewn Churches,Ethiopia,2020-05-06,2674,Low,No,2643
Debre Berhan Selassie Church,Ethiopia,2030-01-25,1136,Low,No,1892
Holy Trinity Cathedral,Ethiopia,2038-12-27,1906,Low,No,535
St. George’s Cathedral,Ethiopia,2034-02-24,4856,Medium,No,3172
Temple of Heaven,China,2025-02-15,1507,Low,No,1980
Confucius Temple,China,2042-07-06,3077,Low,No,1322
Shaolin Temple,China,2044-01-19,1409,Low,No,3990
White Horse Temple,China,2037-11-11,653,Medium,Yes,1560
Lingyin Temple,China,2023-03-31,1443,Low,Yes,1885
Todaiji Temple,Japan,2024-04-20,2285,High,Yes,3437
Fushimi Inari Taisha,Japan,2024-04-06,2813,Medium,Yes,523
Kiyomizu-dera,Japan,2039-11-25,875,Medium,Yes,290
Tōdai-ji,Japan,2019-05-03,732,High,No,3096
Itsukushima Shrine,Japan,2040-09-09,4214,Medium,No,2051
Jokhang Monastery,Tibet (China),2027-06-23,1612,Low,No,1073
Potala Palace,Tibet (China),2025-06-17,4457,Medium,No,3894
Ramoche Monastery,Tibet (China),2030-06-04,3836,Low,No,1274
Drepung Monastery,Tibet (China),2022-07-28,3188,Low,No,2083
Sera Monastery,Tibet (China),2042-12-31,1324,Medium,No,2271
Angkor Wat,Cambodia,2029-11-18,4983,Low,No,2955
Bayon Temple,Cambodia,2041-07-14,4309,High,No,1084
Ta Prohm,Cambodia,2021-01-12,1959,Medium,No,666
Wat Phra Kaew,Thailand,2032-01-18,2935,Medium,No,1916
Wat Arun,Thailand,2038-11-25,3673,High,No,703
Wat Pho,Thailand,2039-05-18,2602,High,No,1086
Shwedagon Pagoda,Myanmar,2022-04-08,4919,High,No,915
Mahamuni Buddha Temple,Myanmar,2019-03-27,1619,Medium,Yes,3376
Bagan Temples,Myanmar,2025-08-03,740,High,Yes,2159
Borobudur,Indonesia,2035-10-23,4047,High,Yes,527
Prambanan,Indonesia,2025-10-19,4976,High,Yes,1532
Tanah Lot,Indonesia,2027-10-15,3815,High,Yes,2166
Paro Taktsang,Bhutan,2032-06-14,2709,Medium,Yes,845
Punakha Dzong,Bhutan,2034-05-07,786,High,Yes,1568
Tashichho Dzong,Bhutan,2027-08-10,2451,High,No,934
St. Patrick’s Cathedral,Ireland,2044-03-18,1465,High,No,1686
Christ Church Cathedral,Ireland,2025-10-11,4176,Low,No,620
St. Mary’s Cathedral,Ireland,2044-09-30,1848,Low,No,2391
Temple Bar Temple,Ireland,2027-01-11,2025,High,No,458
St. Nicholas Church,Czech Republic,2025-01-08,639,Medium,No,2340
St. Vitus Cathedral,Czech Republic,2018-03-30,2575,Low,No,1837
Sedlec Ossuary,Czech Republic,2022-10-13,2343,Low,No,3330
St. Mark’s Coptic Orthodox Cathedral,Egypt,2019-11-15,888,Low,No,735
Monastery of Saint Anthony,Egypt,2025-09-03,4338,Medium,No,3845
Saint Catherine’s Monastery,Egypt,2040-02-10,4315,Low,No,2438
Church of St. Simeon,Syria,2044-10-24,4091,Medium,No,3428
Umayyad Mosque,Syria,2021-02-19,1379,High,No,2852
Sayyidah Zaynab Mosque,Syria,2019-05-26,2178,Low,No,273
Al-Masjid al-Nabawi (old site),Saudi Arabia,2026-04-16,3189,Low,No,3004
Dome of the Chain,Israel,2037-09-12,1434,High,No,2300
Basilica of the Nativity,Palestine,2027-09-13,2985,Medium,No,653
Church of All Nations,Israel,2019-06-17,3072,Medium,No,1529
Hagia Triada Church,Greece,2032-09-19,1404,Low,No,730
Agios Nikolaos Church,Greece,2019-07-31,2183,Medium,Yes,1301
Monastery of St. John the Baptist,Greece,2035-02-14,4499,Low,Yes,1423
Church of Panagia Paraportiani,Greece,2041-02-23,2111,High,Yes,555
